Wavelength (%),EQE(%)
300,1.83 
310,4.71 
320,12.68 
330,24.00 
340,34.17 
350,40.07 
360,44.86 
370,48.91 
380,53.05 
390,59.06 
400,66.65 
410,74.10 
420,79.08 
430,80.76 
440,80.59 
450,80.19 
460,80.41 
470,81.61 
480,83.70 
490,85.78 
500,87.79 
510,89.54 
520,90.99 
530,92.11 
540,92.90 
550,93.71 
560,94.59 
570,95.37 
580,95.51 
590,95.08 
600,94.59 
610,94.44 
620,94.48 
630,94.68 
640,94.86 
650,94.65 
660,94.20 
670,93.55 
680,93.04 
690,92.93 
700,93.09 
710,93.44 
720,93.50 
730,93.38 
740,93.30 
750,93.30 
760,93.18 
770,92.83 
780,91.95 
790,90.45 
800,88.16 
810,85.02 
820,81.06 
830,76.14 
840,69.05 
850,57.17 
860,41.94 
870,27.70 
880,18.60 
890,13.13 
900,9.06 
910,5.35 
920,3.01 
930,1.65 
940,0.89 
950,0.66 
960,0.67 
970,0.53 
980,0.23 
990,0.09 
1000,0.42 
