JSC mA/cm2,EQE_EL_%
9.33E-6,0
5E-5,0
1.65333E-4,0
5.75833E-4,0
0.00176683,0
0.00465183,0
0.0119875,0
0.0498105,0
0.446967,0.01696949
4.61568,0.03526829
21.9798,0.03508583
50.292,0.03149023
86.925,0.02865993
131.373,0.02663083
183.168,0.0252462
241.985,0.02434738
307.807,0.02380203
380.89,0.02353059
459.398,0.02341086
543.338,0.02341658
632.073,0.02351375
725.092,0.02370141
821.678,0.0239059
920.61,0.02417922
1022.41,0.02451963
1125.83,0.02489448
1230.41,0.02530457
1336.67,0.02571465
1445.04,0.02622978
1553.5,0.02674354
1662.8,0.02733757
1782.88,0.02793804
1894.68,0.02862782
2006.78,0.0293631
2119.6,0.03019998
2233.55,0.03111115
2346.68,0.03207139
2459.72,0.03314181
2573.32,0.03419091
2687.37,0.03541304
2800.27,0.03661983
2913.45,0.03792263
3027.62,0.03932741
3141.97,0.04082
3256.92,0.04231383
3372.5,0.04390094
3488.1,0.04554095
3604.3,0.04716368
3719.73,0.04876307
3836.18,0.05015719
3953.18,0.05156021
